Survey identifier ,Species Code,First recording section bird count,Second recording section bird count,Third recording section bird count,Total bird count,Transcriber comments,English common name ,French common name ,Scientfic name,AOU numberic code,Year of observation,Month of observation,Day of observation,Hour of observation,Minute of observation,Temperature in degrees Celcius,Wind speed,Gust wind speed,Cloud cover (percentage),First observer,Second observer,Third observer,Comments,Audio file name,Transcriber,Transcription start minute,Transcription start second,Recording quality,Noise comments,Survey area identifier ,Point number,2016 — present site identifier,2009-2013 site identifier,1998-2007 site identifier,Monitoring Era,Era of origin,Latitude,Longitude,UTM northing NAD83,UTM easting NAD83,SiteID Comments
Identificateur du relevé,Code d’espèce,Première période d’écoute pour le dénombrement d’oiseaux,Deuxième période d’écoute pour le dénombrement d’oiseaux,Troisième période d’écoute pour le dénombrement d’oiseaux,Nombre total d’oiseaux,Commentaires du transcripteur,Nom commun anglais,Nom commun français,Nom scientifique,Code numérique de l’AOU ,Année de l’observation,Mois de l’observation,Jour de l’observation,Heure de l’observation,Minute de l’observation,Température en degrés Celcius,Vitesse du vent,Vitesse du vent dans les rafales,Couverture nuageuse (pourcentage),Premier observateur,Deuxième observateur,Troisième observateur,,Nom du fichier audio,Transcripteur,Minute du début de la transcription,Seconde du début de la transcription,Qualité de l’enregistrement,Commentaires sur les bruits de fond,Identificateur de la zone du relevé,Numéro du point,Identificateur de site de 2016 à aujourd’hui,Identificateur de site 2013-2016,Identificateur de site 1998-2007,Période de surveillance,Période d’établissement du site,Latitude,Longitude,Ordonnée UTM ,Abscisse UTM ,Commentaires sur l’ID du site
01_1_17,LEFL,2,0,0,2,NA,Least Flycatcher,Moucherolle tchébec,Empidonax minimus,1191,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,YEWA,2,0,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,AMRO,1,0,0,1,NA,American Robin,Merle d'Amérique,Turdus migratorius,1554,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,CCSP,0,0,1,1,NA,Clay-colored Sparrow,Bruant des plaines,Spizella pallida,1836,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,COYE,1,0,0,1,NA,Common Yellowthroat,Paruline masquée,Geothlypis trichas,1650,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,NOFL,0,0,1,1,NA,Northern Flicker,Pic flamboyant,Colaptes auratus,1018,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,REVI,1,0,0,1,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,RUDU,0,0,1,1,NA,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,76,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,WISN,1,0,0,1,NA,Wilson's Snipe,Bécassine de Wilson,Gallinago delicata,472,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_1_17,WTSP,1,0,0,1,NA,White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1861,2017,6,18,8,28,12,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,30,Moderate,Windy,1,1,BEA11,x,bea01,2016,1998,53.71015898,-112.875619,5952907.216,376209.1351,NA
01_2_17,BCCH,0,1,1,2,NA,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,1396,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,REVI,2,0,0,2,NA,Red-eyed Vireo,Viréo aux yeux rouges,Vireo olivaceus,1315,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,YEWA,0,2,0,2,NA,Yellow Warbler,Paruline jaune,Setophaga petechia,1666,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,AMCR,1,0,0,1,NA,American Crow,Corneille d'Amérique,Corvus brachyrhynchos,1356,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,AMRO,0,0,1,1,NA,American Robin,Merle d'Amérique,Turdus migratorius,1554,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
01_2_17,BLJA,0,0,1,1,NA,Blue Jay,Geai bleu,Cyanocitta cristata,1345,2017,6,18,8,55,13,1,NA,0,LIAB,BRBE,NA,NA,NA,C,0,35,Moderate,"Windy, and Train",1,2,BEA12,x,bea03,2016,1998,53.70754852,-112.8703861,5952607.733,376546.8292,NA
