Common Name,Scientific Name,Date,Time,UTM Easting,UTM Northing,Location Name,Number Recorded,Sex,Observer's name,Comments,Habitat Type
Nom commun,Nom scientifique,Date,Heure,UTM vers l’est,UTM vers le nord,Nom de l’emplacement,Numbre consigné,Sexe,Nom de l’observateur,Commentaires,Type d’habitat
American Crow,Corvus brachyrhynchos,28/05/2005,8:00,589433,4966993,Huron Trail Stn A,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,28/05/2005,8:26,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,28/05/2005,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Black-throated Green Warbler,Dendroica virens,28/05/2005,8:50,589213,4967957,Huron Trail Stn E,2,Unknown,Andrew Promaine,,Hardwood Forest
Chestnut-sided Warbler,Dendroica pensylvanica,28/05/2005,8:14,589340,4967225,Huron Trail Stn B,1,Unknown,Andrew Promaine,,Hardwood Forest
Chestnut-sided Warbler,Dendroica pensylvanica,28/05/2005,8:36,589211,4967707,Huron Trail Stn D,1,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Phoebe,Sayornis phoebe,28/05/2005,8:14,589340,4967225,Huron Trail Stn B,1,Male,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,28/05/2005,8:00,589433,4966993,Huron Trail Stn A,2,Male,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,28/05/2005,8:14,589340,4967225,Huron Trail Stn B,2,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,28/05/2005,8:26,589260,4967462,Huron Trail Stn C,2,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,28/05/2005,8:36,589211,4967707,Huron Trail Stn D,2,Unknown,Andrew Promaine,,Hardwood Forest
Eastern Wood-Pewee,Contopus virens,28/05/2005,8:50,589213,4967957,Huron Trail Stn E,1,Male,Andrew Promaine,,Hardwood Forest
Hairy Woodpecker,Picoides villosus,28/05/2005,8:00,589433,4966993,Huron Trail Stn A,1,Male,Andrew Promaine,,Hardwood Forest
Ovenbird,Seiurus aurocapillus,28/05/2005,8:26,589260,4967462,Huron Trail Stn C,1,Unknown,Andrew Promaine,,Hardwood Forest
Ovenbird,Seiurus aurocapillus,28/05/2005,8:50,589213,4967957,Huron Trail Stn E,1,Unknown,Andrew Promaine,,Hardwood Forest
