Park,Point transect,Point transect identification,Ecoregion,Universal Transverse Mercator Zone,Easting coordinate,Northing coordinate,Elevation,Date and Time,Temperature,Sky condition,Wind speed (km/h),Duration of survey (min),Species
Parc,Point-transect,Identification du point-transect,Écorégion,Zone de la projection transverse universelle de Mercator,Abscisse,Ordonnée,Élévation,Date et heure,Température,Condition du ciel,Vitesse du vent (km/h),Durée du relevé (min),Espèce
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2008-06-29 5:38,15.1,Clear,1,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2015-06-26 5:22,9.3,broken,1.3,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2009-06-30 5:52,-1.4,Scattered,4.6,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2014-06-23 5:28,6,clear,0,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2016-07-05 5:34,1.2,broken,0.9,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2007-07-18 6:17,14,Broken,6,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2010-07-09 5:28,9.5,Clear,2.8,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2013-06-26 5:38,5.3,Broken,2.5,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2011-07-10 5:22,7.1,overcast,0,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2008-06-29 5:38,15.1,Clear,1,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2015-06-26 5:22,9.3,broken,1.3,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2009-06-30 5:52,-1.4,Scattered,4.6,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2014-06-23 5:28,6,clear,0,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2016-07-05 5:34,1.2,broken,0.9,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2007-07-18 6:17,14,Broken,6,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2010-07-09 5:28,9.5,Clear,2.8,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2013-06-26 5:38,5.3,Broken,2.5,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2011-07-10 5:22,7.1,overcast,0,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2008-06-29 5:38,15.1,Clear,1,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2015-06-26 5:22,9.3,broken,1.3,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2009-06-30 5:52,-1.4,Scattered,4.6,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2014-06-23 5:28,6,clear,0,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2016-07-05 5:34,1.2,broken,0.9,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2007-07-18 6:17,14,Broken,6,10,
JNP,Cavell Meadows,2,Alpine,11N,429841,5837112,2050,2010-07-09 5:28,9.5,Clear,2.8,10,
