Park,Point transect,Point transect identification,Ecoregion,Universal Transverse Mercator Zone,Easting coordinate,Northing coordinate,Elevation,Date and Time,Temperature,Sky condition,Wind speed (km/h),Duration of survey (min),Species
Parc,Point-transect,Identification du point-transect,Écorégion,Zone de la projection transverse universelle de Mercator,Abscisse,Ordonnée,Élévation,Date et heure,Température,Condition du ciel,Vitesse du vent (km/h),Durée du relevé (min),Espèce
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2010-06-11 9:00,9.1,Clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2008-06-15 8:46,4.8,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2016-06-14 9:09,8.2,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2007-06-21 8:59,12.2,Scattered,2.7,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2009-06-16 9:05,10.3,Broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2011-06-13 7:38,9.5,broken,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2014-06-10 8:43,10.8,overcast,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2017-06-15 9:08,6.9,Scattered,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2015-06-22 9:10,8.2,clear,0,10,
JNP,Elysium Pass,10,Lower Subalpine,11N,413259,5862151,1478,2013-06-17 8:57,9.7,Scattered,0,10,
