Recording Transcription Identification,Measure Identification,Year,Date,Recording Start Time,Recording Station Identification,Route Name,Route Identification,Station,UTM Zone,UTM Easting,UTM Northing,Observer,Cloud Cover (%),Wind Speed (Beaufort Scale),Temperature (°C),Background Noise Level,Transcriber,American Ornithologists' Union Species Code,Number of Birds Detected From 0 - 3 Minutes,Number of Birds Detected From 3 - 5 Minutes,Number of Birds Detected From 5 - 10 Minutes,Call Detected During Bird Fly Over,Vegetation Community,Observer Comments,Transcriber Comments,Comments
Identification de la transcription de l’enregistrement,Identification de la mesure,Année ,Date,Heure du début de l’enregistrement,Identification de la station d’enregistrement,Nom du parcours,Identification du parcours,Station,Zone UTM (projection universelle transverse de Mercator),UTM vers l’Est,UTM vers le Nord,Observateur,Couverture nuageuse (%),Vent (échelle de Beaufort),Température (°C),Niveau du bruit de fond,Transcripteur,Code d’espèce de l’American Ornithologists' Union,Nombre d’oiseaux détectés (entre 0 à 3 minutes),Nombre d’oiseaux détectés (entre 3 à 5 minutes),Nombre d’oiseaux détectés (entre 5 à 10 minutes),Chant détecté durant le vol,Communauté végétale,Commentaires de l’observateur,Commentaires du transcripteur,Commentaires 
495,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,SWTH,1,0,1,FALSE,,,,
496,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,BBWA,0,0,1,FALSE,,,,
497,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,GCKI,1,0,0,FALSE,,,,
498,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,RCKI,1,0,0,FALSE,,,,
499,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,PISI,0,0,1,TRUE,,,,
500,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,CHSP,1,0,0,FALSE,,,,
501,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,CMWA,1,0,0,FALSE,,,,
502,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,BOCH,1,0,0,FALSE,,,,
503,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,GRAJ,0,0,1,FALSE,,,,
504,PANP-02-A1-2005-1,2005,04/07/2005,8:22,PANP-02-A1,Camp 10,2,A1,13U,426260,5958965,,,,,Moderate,1,RESQ,0,0,1,FALSE,,,,
505,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,YRWA,1,1,0,FALSE,CP,,,
506,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,RCKI,1,1,0,FALSE,CP,,,
507,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,CHSP,1,0,0,FALSE,CP,,,
508,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,PISI,0,0,1,FALSE,CP,,,
509,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,TEWA,1,0,0,FALSE,CP,,,
510,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,SWTH,1,0,0,FALSE,CP,,,
511,PANP-02-A2-2005-1,2005,04/07/2005,7:24,PANP-02-A2,Camp 10,2,A2,13U,426642,5959194,,,,,Moderate,1,RESQ,0,1,0,FALSE,CP,,,
512,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,NAWA,0,1,0,FALSE,CP,,,
513,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,DEJU,1,0,0,FALSE,CP,,,
514,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,SWTH,1,0,0,FALSE,CP,,,
515,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,BHVI,0,1,0,FALSE,CP,,,
516,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,YRWA,0,1,0,FALSE,CP,,,
517,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,BBWA,1,0,0,FALSE,CP,,,
518,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,PISI,0,0,1,FALSE,CP,,,
519,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,RCKI,0,0,1,FALSE,CP,,,
520,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,HETH,2,0,0,FALSE,CP,,,
521,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,CHSP,1,0,0,FALSE,CP,,,
522,PANP-02-A3-2005-1,2005,04/07/2005,6:39,PANP-02-A3,Camp 10,2,A3,13U,426986,5959225,,,,,None,1,COLO,0,1,0,TRUE,CP,,,
523,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,YRWA,2,0,0,FALSE,,,,
524,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,SWTH,1,0,0,FALSE,,,,
525,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,HETH,0,0,1,FALSE,,,,
526,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,GCKI,1,0,0,FALSE,,,,
527,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,BRCR,0,1,0,FALSE,,,,
528,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,PISI,0,1,0,FALSE,,,,
529,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,BOCH,0,1,0,FALSE,,,,
530,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,BHVI,0,0,1,FALSE,,,,
531,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,CHSP,1,0,0,FALSE,,,,
532,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,OVEN,1,0,0,FALSE,,,,
533,PANP-02-A4-2005-1,2005,04/07/2005,5:53,PANP-02-A4,Camp 10,2,A4,13U,427414,5959064,,,,,Light,1,RESQ,1,0,0,FALSE,,,,
534,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,WTSP,1,0,1,FALSE,,,,
535,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,TEWA,1,0,0,FALSE,,,,
536,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,DEJU,0,0,1,FALSE,,,,
537,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,COYE,1,0,0,FALSE,,,,
538,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,WPWA,0,0,1,FALSE,,,,
539,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,LISP,1,0,0,FALSE,,,,
540,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,PISI,4,0,0,TRUE,,,,
541,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,NAWA,1,0,0,FALSE,,,,
542,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,CCSP,1,0,0,FALSE,,,,
543,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,HETH,0,0,1,FALSE,,,,
544,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,SOSP,1,0,0,FALSE,,,,
545,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,ALFL,0,1,0,FALSE,,,,
546,PANP-02-A5-2005-1,2005,04/07/2005,5:11,PANP-02-A5,Camp 10,2,A5,13U,427787,5959097,,,,,Light,1,RESQ,0,0,1,FALSE,,,,
547,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,YRWA,1,1,0,FALSE,,,,
548,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,CHSP,1,0,0,FALSE,,,,
549,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,DEJU,0,1,0,FALSE,,,,
550,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,GRAJ,1,0,0,FALSE,,,,
551,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,GCKI,0,0,1,FALSE,,,,
552,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,SWTH,1,0,0,FALSE,,,,
553,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,HETH,1,0,0,FALSE,,,,
554,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,BHVI,1,0,0,FALSE,,,,
555,PANP-02-B2-2005-1,2005,04/07/2005,9:20,PANP-02-B2,Camp 10,2,B2,13U,426631,5958586,,,,,Light,1,RESQ,1,0,1,FALSE,,,,
556,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,WWCR,0,0,2,TRUE,,,,
557,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,GCKI,0,1,1,FALSE,,,,
558,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,RCKI,0,0,1,FALSE,,,,
559,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,CMWA,1,0,0,FALSE,,,,
560,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,BRCR,0,0,1,FALSE,,,,
561,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,CHSP,0,1,0,FALSE,,,,
562,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,YRWA,0,1,0,FALSE,,,,
563,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,NAWA,2,0,0,FALSE,,,,
564,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,BHVI,0,1,0,FALSE,,,,
565,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,SWTH,1,0,0,FALSE,,,,
566,PANP-02-B3-2005-1,2005,02/07/2005,6:58,PANP-02-B3,Camp 10,2,B3,13U,,,,,,,Light,1,RESQ,0,0,1,FALSE,,,,
468,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,OVEN,0,0,1,FALSE,MW,,,
469,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,WIWR,1,0,0,FALSE,MW,,,
470,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,SWTH,3,0,0,FALSE,MW,,,
471,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,RESQ,0,1,0,FALSE,MW,,,
567,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,EVGR,1,0,0,FALSE,MW,,,
568,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,PISI,0,0,1,FALSE,MW,,,
569,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,BRCR,2,0,0,FALSE,MW,,,
570,PANP-02-B4-2005-1,2005,02/07/2005,6:08,PANP-02-B4,Camp 10,2,B4,13U,427406,5958828,,,,,Light,1,CHSP,1,0,1,FALSE,MW,,,
