Park,Location,PointID,Year,Month,Day,Species,Time.1st.Detected,#detected_0-3m20s,#detected_3m21s-6m40s,#detected_6m41s-10m,Behaviour,UTM_11U_x,UTM_11u_y
Parc,Nom du lieu,PointID,Année,Mois,Journée,Espèce,Temps 1er détecté,Nombre de détection à 0-3m20,Nombre de détection à 3m21-6m40,Nombre de détection à 6m41-10m,Comportement,UTM vers l’Est,UTM vers le Nord
BNP,Arnica,1,2007,6,15,TOSO,0.01,2,2,2,Singing,567771,5677040
BNP,Arnica,1,2007,6,15,OSFL,0.02,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2007,6,15,CHSP,0.08,2,1,0,Singing,567771,5677040
BNP,Arnica,1,2007,6,15,SWTH,4.42,0,1,1,Calling,567771,5677040
BNP,Arnica,1,2007,6,15,YRWA,4.43,0,1,1,Singing,567771,5677040
BNP,Arnica,1,2007,6,15,TOWA,7.44,0,0,1,Singing,567771,5677040
BNP,Arnica,1,2007,6,15,OCWA,9.25,0,0,1,Singing,567771,5677040
BNP,Arnica,1,2007,6,15,PISI,9.49,0,0,1,Calling,567771,5677040
BNP,Arnica,1,2008,7,9,YRWA,0.01,1,1,0,Singing,567771,5677040
BNP,Arnica,1,2008,7,9,SWTH,0.01,3,3,3,Singing,567771,5677040
BNP,Arnica,1,2008,7,9,CHSP,0.01,2,2,2,Singing,567771,5677040
BNP,Arnica,1,2008,7,9,OSFL,0.05,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2008,7,9,PISI,0.2,1,1,0,Singing,567771,5677040
BNP,Arnica,1,2008,7,9,TEWA,1.59,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2008,7,9,RESQ,2.27,1,1,1,Calling,567771,5677040
BNP,Arnica,1,2008,7,9,AMRO,3.42,0,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,HAFL,0.01,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,CHSP,0.01,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,AMRO,0.01,2,2,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,YRWA,0.02,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,OSFL,0.05,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,HETH,0.31,1,0,0,Calling,567771,5677040
BNP,Arnica,1,2009,6,27,TOWA,2.11,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,SWTH,2.52,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,DEJU,3.31,0,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,RCKI,3.34,0,1,1,Singing,567771,5677040
BNP,Arnica,1,2009,6,27,PISI,4.3600000000000003,0,1,0,Calling,567771,5677040
BNP,Arnica,1,2011,6,12,YRWA,0.01,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2011,6,12,AMRO,0.01,2,2,2,Singing,567771,5677040
BNP,Arnica,1,2011,6,12,SWTH,0.08,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2011,6,12,GHOW,0.15,1,1,0,Singing,567771,5677040
BNP,Arnica,1,2011,6,12,CHSP,0.59,1,1,1,Singing,567771,5677040
BNP,Arnica,1,2011,6,12,SPSA,3.23,0,1,0,Calling,567771,5677040
BNP,Arnica,1,2011,6,12,DEJU,3.42,0,1,2,Singing,567771,5677040
