Park,Location,PointID,Year,Month,Day,Species,Time.1st.Detected,#detected_0-3m20s,#detected_3m21s-6m40s,#detected_6m41s-10m,Behaviour,UTM_11U_x,UTM_11u_y
Parc,Nom du lieu ,PointID,Année,Mois,Journée,Espèce,Temps 1er détecté,Nombre de détection à 0-3m20,Nombre de détection à 3m21-6m40,Nombre de détection à 6m41-10m,Comportement,UTM vers l’Est,UTM vers le Nord
KNP,Boundary,1,2007,6,21,AMRO,1.54,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2007,6,21,CHSP,0.01,2,2,2,Singing,565529,5636951
KNP,Boundary,1,2007,6,21,DEJU,0.03,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2007,6,21,HAFL,0.03,1,2,2,Singing,565529,5636951
KNP,Boundary,1,2007,6,21,RBNU,1.18,1,1,1,Calling,565529,5636951
KNP,Boundary,1,2007,6,21,SWTH,0.01,2,2,2,Singing,565529,5636951
KNP,Boundary,1,2007,6,21,YRWA,0.1,1,0,0,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,AMRO,0.02,2,1,1,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,CHSP,0.03,2,2,2,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,DEJU,0.01,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,GRAJ,5.46,0,1,2,Calling,565529,5636951
KNP,Boundary,1,2008,6,15,MGWA,0.18,0,1,1,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,RCKI,3.52,0,1,1,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,SWTH,2.48,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2008,6,15,WAVI,5.32,0,1,0,Singing,565529,5636951
KNP,Boundary,1,2009,6,19,AMRO,0.01,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2009,6,19,CHSP,0.01,2,2,1,Singing,565529,5636951
KNP,Boundary,1,2009,6,19,DEJU,6.45,0,0,1,Singing,565529,5636951
KNP,Boundary,1,2009,6,19,OCWA,7.06,0,0,1,Singing,565529,5636951
KNP,Boundary,1,2009,6,19,RBNU,0.01,1,0,0,Calling,565529,5636951
KNP,Boundary,1,2009,6,19,SWTH,0.08,2,1,1,Singing,565529,5636951
KNP,Boundary,1,2009,6,19,YRWA,0.42,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2010,6,14,AMRO,1.43,1,1,0,Singing,565529,5636951
KNP,Boundary,1,2010,6,14,CHSP,0.01,1,2,2,Singing,565529,5636951
KNP,Boundary,1,2010,6,14,DOWO,9.54,0,0,1,Calling,565529,5636951
KNP,Boundary,1,2010,6,14,PISI,4.55,0,1,1,Calling,565529,5636951
KNP,Boundary,1,2010,6,14,RNSA,2.04,1,1,0,Drumming,565529,5636951
KNP,Boundary,1,2010,6,14,SWTH,1.17,1,0,0,Calling,565529,5636951
KNP,Boundary,1,2010,6,14,VATH,0.07,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2010,6,14,WWCR,8.41,0,0,1,Calling,565529,5636951
KNP,Boundary,1,2010,6,14,YRWA,0.4,1,1,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,AMRO,0.06,1,1,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,CHSP,0.22,1,1,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,DEJU,2.29,1,0,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,LISP,0.03,2,0,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,RCKI,0.35,1,0,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,RNSA,1.41,1,0,0,Calling,565529,5636951
KNP,Boundary,1,2011,6,23,SWTH,0.09,2,2,0,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,WAVI,5.19,0,1,1,Singing,565529,5636951
KNP,Boundary,1,2011,6,23,YRWA,4.52,0,1,0,Singing,565529,5636951
KNP,Boundary,1,2013,6,18,AMRO,4.34,0,2,2,Singing,565529,5636951
KNP,Boundary,1,2013,6,18,DEJU,0.09,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2013,6,18,RESQ,0.09,1,1,0,Calling,565529,5636951
KNP,Boundary,1,2013,6,18,SWTH,0.03,2,2,2,Singing,565529,5636951
KNP,Boundary,1,2013,6,18,YRWA,0.01,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2014,6,11,AMRO,6.23,0,1,0,Calling,565529,5636951
KNP,Boundary,1,2014,6,11,DEJU,0.01,1,0,0,Singing,565529,5636951
KNP,Boundary,1,2014,6,11,NOWA,0.15,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2014,6,11,RCKI,0.06,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2014,6,11,RESQ,0.49,1,1,1,Calling,565529,5636951
KNP,Boundary,1,2014,6,11,SWTH,0.01,1,0,0,Calling,565529,5636951
KNP,Boundary,1,2014,6,11,VATH,2.49,2,1,1,Singing,565529,5636951
KNP,Boundary,1,2014,6,11,WAVI,0.04,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2014,6,11,YRWA,4.1,0,2,1,Singing,565529,5636951
KNP,Boundary,1,2015,6,16,CHSP,0,1,1,1,singing,565529,5636951
KNP,Boundary,1,2015,6,16,DEJU,1.54,1,1,1,singing,565529,5636951
KNP,Boundary,1,2015,6,16,HAWO,7.49,0,0,1,calling,565529,5636951
KNP,Boundary,1,2015,6,16,MOCH,6.26,0,1,0,singing,565529,5636951
KNP,Boundary,1,2015,6,16,OCWA,4.07,0,1,1,singing,565529,5636951
KNP,Boundary,1,2015,6,16,RCKI,0.33,1,0,0,singing,565529,5636951
KNP,Boundary,1,2015,6,16,SWTH,0.06,1,1,1,singing,565529,5636951
KNP,Boundary,1,2015,6,16,VATH,0.37,1,1,0,singing,565529,5636951
KNP,Boundary,1,2015,6,16,WAVI,0,1,2,2,singing,565529,5636951
KNP,Boundary,1,2015,6,16,YRWA,0.08,1,1,2,singing,565529,5636951
KNP,Boundary,1,2017,7,11,AMRO,1.14,1,1,0,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,CHSP,6.29,0,1,1,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,DEJU,2.29,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,HAFL,0,2,2,2,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,RCKI,3.16,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,SWTH,5.33,0,1,1,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,VATH,0.06,2,2,1,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,WAVI,0.02,2,1,2,Singing,565529,5636951
KNP,Boundary,1,2017,7,11,YRWA,6.34,0,1,1,Singing,565529,5636951
KNP,Boundary,1,2018,6,12,AMRO,7.3,0,0,1,Calling,565529,5636951
KNP,Boundary,1,2018,6,12,CHSP,0.03,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2018,6,12,DEJU,2.11,1,1,1,Singing,565529,5636951
KNP,Boundary,1,2018,6,12,GRAJ,0.3,1,0,0,Calling,565529,5636951
KNP,Boundary,1,2018,6,12,HAFL,5.11,0,1,1,Singing,565529,5636951
