Park,Location,PointID,Year,Month,Day,Species,Time.1st.Detected,#detected_0-3m20s,#detected_3m21s-6m40s,#detected_6m41s-10m,Behaviour,UTM_11U_x,UTM_11u_y
Parc,Nom du lieu ,PointID,Année,Mois,Journée,Espèce,Temps 1er détecté,Nombre de détection à 0-3m20,Nombre de détection à 3m21-6m40,Nombre de détection à 6m41-10m,Comportement,UTM vers l’Est,UTM vers le Nord
YNP,Amiskwi,1,2008,7,1,AMRO,0.25,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2008,7,1,CHSP,0.01,3,3,3,Singing,531098,5692173
YNP,Amiskwi,1,2008,7,1,GCKI,0.15,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2008,7,1,MOCH,8.16,0,0,1,Calling,531098,5692173
YNP,Amiskwi,1,2008,7,1,PISI,1.39,1,1,0,Calling,531098,5692173
YNP,Amiskwi,1,2008,7,1,RESQ,1.39,1,1,1,Calling,531098,5692173
YNP,Amiskwi,1,2008,7,1,SWTH,6.11,0,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2008,7,1,UNWO,9.57,0,0,1,Drumming,531098,5692173
YNP,Amiskwi,1,2008,7,1,YRWA,0.59,1,2,1,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,CHSP,0.48,1,2,1,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,DEJU,0.06,1,0,0,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,GCKI,0.02,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,GRAJ,3.41,0,1,1,Calling,531098,5692173
YNP,Amiskwi,1,2009,6,25,MOCH,8.44,0,0,2,Calling,531098,5692173
YNP,Amiskwi,1,2009,6,25,PISI,3.38,0,1,0,Calling,531098,5692173
YNP,Amiskwi,1,2009,6,25,RCKI,0.01,1,1,0,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,SWTH,0.02,1,1,2,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,VATH,1.38,2,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2009,6,25,YRWA,0.19,1,0,1,Singing,531098,5692173
YNP,Amiskwi,1,2010,6,11,CHSP,0.27,2,2,2,Singing,531098,5692173
YNP,Amiskwi,1,2010,6,11,DEJU,0.01,1,1,0,Singing,531098,5692173
YNP,Amiskwi,1,2010,6,11,GCKI,0.04,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2010,6,11,MOCH,0.01,1,0,0,Calling,531098,5692173
YNP,Amiskwi,1,2010,6,11,SWTH,0.01,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2010,6,11,VATH,1.56,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2010,6,11,YRWA,0.5,1,1,1,Singing,531098,5692173
YNP,Amiskwi,1,2011,6,22,AMRO,0.02,1,0,0,Singing,531098,5692173
YNP,Amiskwi,1,2011,6,22,CHSP,0.03,2,1,2,Singing,531098,5692173
YNP,Amiskwi,1,2011,6,22,DEJU,2.59,1,1,0,Singing,531098,5692173
YNP,Amiskwi,1,2011,6,22,GCKI,7.37,0,0,1,Singing,531098,5692173
YNP,Amiskwi,1,2011,6,22,MOCH,0.3,2,1,0,Calling,531098,5692173
